id_post,modelo,ano,cor,portas,potencia_motor,combustivel,quilometragem,direcao,cambio,air_bag,alarme,ar_condicionado,trava_eletrica,vidro_eletrico,som,sensor_re,camera_re,preco
559100038,VW - VOLKSWAGEN VOYAGE TREND 1.6 MI TOTAL FLEX 8V 4P,2016,Prata,4,1.6,Flex,45.000,Hidráulica,Manual,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,38.500
554356941,FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,2014,Branco,4,2.0 - 2.9,Flex,43.526,Hidráulica,Automático,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,44.000
536191760,HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,2017,Preto,4,1.6,Flex,40.000,Elétrica,Automático,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,52.200
562708200,KIA MOTORS SPORTAGE LX 2.0 16V/ 2.0 16V FLEX  AUT.,2015,Branco,4,2.0 - 2.9,Flex,72.000,Hidráulica,Automático,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,77.990
549338035,GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,2018,Prata,4,1.0,Flex,38.639,Elétrica,Manual,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,35.990
563244885,RENAULT DUSTER OROCH EXP. 1.6 HI-FLEX 16V  MEC.,2018,Branco,4,1.6,Flex,20.450,Hidráulica,Manual,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,60.000
563465082,FORD FIESTA 1.6 16V FLEX AUT. 5P,2011,Preto,4,1.6,Flex,94.000,Hidráulica,Manual,NAO,SIM,SIM,SIM,SIM,NAO,NAO,NAO,14.500
563464060,FIAT PALIO ELX 1.4 MPI FIRE FLEX 8V 4P,2008,Branco,4,1.4,Flex,72.000,Hidráulica,Manual,NAO,NAO,SIM,SIM,SIM,SIM,NAO,NAO,17.500
563463679,MITSUBISHI PAJERO TR4 GLS 2.0 FLEX 16V 4X4 MEC.,2009,Verde,4,2.0 - 2.9,Flex,133.000,Mecânica,Manual,NAO,SIM,SIM,SIM,SIM,SIM,NAO,NAO,28.000
563463017,TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,2013,Prata,4,2.0 - 2.9,Flex,53.000,Hidráulica,Automático,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,41.700
553321037,GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,2011,Preto,4,1.0,Flex,98.256,Hidráulica,Manual,NAO,SIM,SIM,SIM,SIM,SIM,NAO,NAO,18.500
548453804,NISSAN SENTRA S 2.0/ 2.0 FLEX FUEL 16V AUT.,2017,Prata,4,2.0 - 2.9,Flex,51.596,Elétrica,Automático,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,69.900
563460656,TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,2011,Prata,4,2.0 - 2.9,Flex,98.000,Hidráulica,Automático,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,45.000
